sentiment,review;
Negative;"A black guy fights ..... and supposedly wins .... yeah ... 1/10. Obviously fiction.  So we're presented with a damm nice title, a real nice tag line and even a nice plot line .. Thats about it, thats where it ends.. We move into fiction after that.  Michael Jai White, the black guy so don't get confused with the name.. portrays a black guy.. Umm, thats all there is to the name..  Its so hard to find decent help, must have hired the black guys friends to help cause the low budget, low ineptness of this movie, has the camera's shadow trailing the first scenes.... Yeah obvious idiot moment for the average guy like you and me.. but yeah...  10 lines. review submitted,. if you paid to see this movie, you got screwed.';
Negative;"The original 1965 Japanese film 'Gamera' http://pro.imdb.com/title/tt0059080/ was essentially an updating of the darker, less kid-oriented Gojira (Godzilla)for 1960s sensibilities. Gamera, of course, is a giant, flying, flame-throwing turtle who literally consumes energy - not quite as big as some versions of Godzilla, but generally similar in most ways.   This version of the original film was edited and recut by the notorious Sandy Frank. And just like the Americanized version of Godzilla ('Godzilla King of the Monsters'), 'Gammera the Invincible' gets more than just the spelling wrong. The American scenes are not nearly as ludicrous and annoying as those added to the great Gojira, but don't really add much to the story either because there is little follow up on them.   The film starts off promising, there are a few scenes worth of character development, and there are enough personalities to create some tension outside of the main plot. Once Gamera appears, however, the film begins to descend into a fairly run-of-the mill kaiju film.  The acting is good enough- even the American add-ons are OK. The directing is pretty good for this period and genre, and the special effects are not bad at all for their time (all miniatures). Some of the sets and backdrops are actually very good.   The biggest problem here, of course, is that there is little to nothing original about this film. Gamera, however, develops a much more unique personality in his later films - most of which are worth watching if you are a kaiju fan.';
Negative;"This movie was extremely depressing.   The characters were so cold. The mother, who is he main character, is everything but 'motherly'. OK, she was unhappy in her marriage and always put her husband and children first. Her husband dies. She then goes to visit her son and meets this hunk who is sleeping with her daughter and ends up sleeping with him. Until this part, the movie is all right. Not excellent, but it can be watched. The guy is charming and who can blame her? OK it's not very motherly to sleep with your daughter's lover but let's blame that on the shock of losing her husband.   She becomes totally obsessed with the guy. I think this is the part where I started to dislike the movie. She's always there wanting to please him in an 'old fashioned way' with snacks while he is working on her son's house (I guess this is the only thing she ever learned to do), as if it was the only way she could get his attention. The guy obviously is not very interested (actually, it seems more like he considered sleeping with her a charitable activity) and instead of being insulted by that, she continues to beg him to go to go to bed with her and to be nice to her when he becomes very abusive. 'I want to please you', she tells him in a desperate way while he is insulting her very badly.   What outraged me in this movie, is the utter lack of self-respect the mother has for herself. She tells Craig something like 'I am just a shapeless lump' the first time they sleep together.   This movie is an insult to women kind. If it had been me, I would have bought myself a little object that would have brought me the same satisfaction and a lot less emotional pain... :)';
Negative;"This movie appears to have been an on the job training exercise for the Coppola family. It doesn't seem to know whether to be an 'A' or a 'B' western. I mean, the hero is called Hopalong Cassidy for God's sake. William Boyd must be spinning in his grave.  All the 'B' western cliches are here. The two-gun pearly toothed hero in the white hat with the trusty steed ('C'mon Thunder'), the all-in-black bearded villain, the heroine in distress, the rancher in trouble, the cowardly sheriff, over the top bad guys etc.  The acting, with few exceptions, is strictly from the Yakima Canutt School of Acting. Chris Lybbert (who?) as the hero and Louis Schweibert (who?) as the villain look like they would have been more at home in a 30's Poverty Row quickie. The addition to the cast of veteran performers Martin Sheen, Robert Carradine, Clu Gulager and Will Hutchins helps a little, but they are not given enough to do to salvage this one.  What was the point of the Martin Sheen/Robert Carradine framing sequences? Are we to believe that the Sheen character was a ghost? What was the purpose of the black gloves? It just didn't make sense.  Being a great lover of westerns from all genres, I tried hard to find some redeeming qualities in this film. The cinematography was quite good and the settings looked very authentic. Aside from the hero and main villain, the other characters looked authentic.  If the producers were going to resurrect the Hopalong Cassidy character, they might have given some thought to portraying him as he was originally written - a grizzled foul-mouthed ranch hand with a chip on his shoulder, the kind of part Lee Marvin would have excelled in.  What else can I say but..on Thunder, on big fellow.';
Negative;"I really don't get how people made this film and thought it was worth all the work they put into it. Even more puzzling are those who watched this film without feeling cheated out of 88 minutes of doing something valuable like cleaning under the couch or reading Leviticus.   First of all, surely they could have 2 found real Irish people, and some good-looking women who could deliver their lines better than the washed up, haggard porn stars sprinkled throughout this film. Granted, the gore works- but strangely, it's not as troubling as you might think to see organs yanked out of the porn stars' hot (formerly) tight bodies left and right. Probably has something to do with the fact that after their horrific inhuman acting you just want them to die in pain.  So, if you don't care at all about the following:   - acting (seriously, everyone sucked. I've never witnessed this before. EVERYONE sucked).  -plot (some crappy horror movies are remotely linear, or at the very least surprising. This movie doesn't make sense unless you're as trashed as the writers obviously were).   - theme (Nothing to learn from this film. Nothing to be scared about in bed at night, nothing to contemplate or grasp, or explain to others).   - soundtrack (Crap, crap, crap. Music as ordinary and dull as the script).   - scenery (Could have been this film's saving grace, but no...nothing pleasing here. Even the rocks are fake).  So, yeah. If you don't care about that, and you're just a horny teen with bad taste in music and 'women,' this movie is for you. Positive comments: interesting cinematography at times, wasted on the other elements. Very realistic gore";" again, wasted. But the intestines scene is classic. I agree with the mutant- disembowelment solves the fake accent problem.'
Negative;"I am not a big fan of Rajnikant in the first place, but Baba was a huge disappointment. In between an awful storyline, the action and songs were only mediocre. The storyline becomes very preachy. Instead of running for office like NTR or MGR, Rajni almost appeared to be running as Tamil Nadu's next big guru. My wife tells me that since this film came out, Rajni swore off doing any more movies!  We were lucky initially to have bought Babu (an oldie by Sivajiganeshan) online by accident when trying to buy this one....that was a great film, which made up for having bought this dud...except it makes Baba look even worse by comparison!  Bryan';
Negative;"The only real highlight in the movie is the death of the sniveling guy and the reaction of the surviving characters to it.  In every other way, this film is a very lame rip-off of Jaws, Lake Placid, and Alligator, with a little bit of Godzilla (1998) thrown in.  As is standard for a 1990's-style horror movie, the two non-starring females each take their clothes off at least once. The female lead doesn't, since she obviously has a better agent.   The whole movie surrounds the filming of a really dumb extreme sport called blood surfing, in which surfers cut themselves and surf in shark-infested waters. In this film, a giant salt-water crocodile also happens to be in the area. People get eaten. The movie ends.  I don't mind a bad horror movie, but I really hate a dull bad horror movie, which this definitely is.';
Negative;"Like all Carnosaur movies, this is a joke. The way the dinosaurs move, reminds me of when my sister plays with her dolls, because they cannot be any stiffer or more fake-looking than they were.  The plot had no sense whatsoever. I mean, first they're on a bus, then in a warehouse then, all of a sudden, they're on a boat. And let's be serious, does it make sense that a couple of dinosaurs can stay together on a van, or on a ship? I thought dinosaurs were the biggest animals, and now they can fit on a moving van. It sounds stupid even when you think about it.  The only reason for which I gave this a 3, is because it's still entertaining. I found it better than the first one (haven't watched the second yet). Just, don't rent it. I saw it on TV and it's a good thing I did because I wouldn't have wanted to waste money renting it.';
Negative;"Very disappointing version of Lorna Doone. Too many missing characters, no romantic scenes, changes in story line, too short, appeared low budget. Hardly enough dialogue to understand the story if you're not familiar with the novel. In some scenes it looks like Lorna has a cold sore on her upper lip. I'm sure make-up did it's best to hide it. I guess they didn't want to halt filming until it healed up, pity. Most likely why this movie lacked kissing scenes. Only one disappointing kissing scene at the very end. Lorna Doone is a great epic tale and should be told true. The 2000 version of Lorna Doone is twice as long, more romantic, much more enjoyable and more true to the book.';
Negative;"This show made me feel physically sick, and totally detached from British society as a whole. It was programmes such as this and Blue Peter that pretended that there were/are no class divisions in Britain. They'd always say things like";" 'Go into your loft and you may find this..' or 'Go into your back garden tonight and...' - what about us'scummy' working class kids who never never had a 'loft', and a 'back garden' which was nothing more than a 1 meter square of balcony on the 14th floor of a council block? Public service broadcasting - yeah right! And on top of that, it was awfully depressing to see those stupid, middle class, up-their-own-backside kids mess about with bits of old plastic having'fun'... do me a favour, and 'why don't you' go and slit your wrists or do a coke overdose on 'Mama and Papa's' money... you make me sick'
Negative;"I kind of feel like a genius";" I feel like I'm the only one who saw through this fake film. I watched it three times, once with commentary, and I found myself getting annoyed at all the close-ups, all the times the screen just blacks out, and worst of all, I feel the film never really resolves anything. Yes, the priest dies, but he didn't really seem at peace with the town that gave him so much grief, or with himself. That and he was an idiot. If it weren't for the commentary by Peter Cowie which explained not only the movie but the book it came from, I wouldn't have been able to stomach it at all. I enjoy French movies, but this is one that was completely absurd.  Diary of a Country Priest is filmed in beautiful black and white photography but, that alone cannot save this deadly dull tripe. Scene after scene of extreme close-ups where characters don't say anything until the camera cuts away and goes to a black out do NOT make an interesting or relevant story. How this film ever became a classic is mind boggling: it reminds me more of The Emperor's New Clothes.  Yes, Claude Laydu's performance is heartfelt and thought provoking, if you are a sadist, but this film left me feeling empty because overall it is a weak impression of the Catholic priesthood, which is an ignoble and inglorious institution of corruption. The young priest's triumph over the countess's pride is a weak scene but 90% of the film will drag you down with its dreary introspection and window into the young priest's melancholy thoughts. This priest doesn't come across so much as being humble as he does just plain pitiful.  Being that I don't speak or understand French I was looking forward to doing the English SUBTITLE thing to help understand the film. Well, the English SUBTITLE is at times impossible to view/read and the text rolls by so quickly that there was much I could not read (and I am not a particularly slow reader - I just finished Dostoyevsky in 3 days).   I really wanted to like this film . I try out everything 'chosen' by the Criterion Collection, and yet can not see why in many ways this one merits some sort of critical nod. However, I sat through this entire two hour film yearning to feel some sort of empathy for the main character, and it never materialized. He just seemed like a victim rather than a fighter. And for that, I say it stunk.'
Negative;"The fact that most of the budget for this presumably went on the heavy-duty cast list shouldn't have mattered if it had been staged with flair and imagination and some sympathy for the original's satirical intent. Instead we get risibly bad song and dance sequences featuring picturesque beggars and whores, and the final alienation is accomplished by pulling back to reveal the action has taken place on a music-hall stage, appropriately enough for a production that's more Lionel'Oliver' Blair than Brecht. The acting talent is shamefully misused: Migenes and Walters are good but don't have to try very hard: Migenes at least has a great voice and some feel for the material. Julia looks perfect as Mack, but struggles with the character, straitjacketed by a fake plummy accent. Harris's Peachum is embarrassingly mannered and Polly is atrocious. The adaptations of lyrics, script and music are often awkward: it was a bad move to base the film on Marc Blitzstein's bowdlerised Broadway version, but at least his words were singable, unlike most of what's been interpolated in gestures of faithfulness. And the attempt at overcoming the low budget by filming at claustrophobic angles on mist-shrouded sets lit in garish blues and oranges as if by some bargain-basement Vittorio Storaro fails utterly -- the film just looks cheap, shoddy and thoughtlessly made. Disgraceful.';
Negative;"An absolute steaming pile of cow dung. It's mind-blowing to me that this film was even made. Hip-Hop and old westerns just don't seem to mix. What target audience were these people thinking of when planning this trainwreck.  Not only is the concept and plot a joke, but the acting is atrocious and the fact that some decent actors were even in this nightmare of a film makes their entire careers a laughing stock. The chick from clueless should never be forgiven and she is stripped of any remaining dignity she had. After reading the first ten pages of dialogue she should have been asking which one of her friends was playing this sick joke. After some research, I actually found a list of some other actors who passed on this film: Jada Pinkett-Smith, Denzel Washington, Brandy, Monique, Kim Kardasian, Jenna Jameson, Oprah, and finally Marge Simpson.  Simply put, I would rather stare at a blank TV than watch this movie again.';
Negative;"Jameson Parker And Marilyn Hassett are the screen's most unbelievable couple since John Travolta and Lily Tomlin. Larry Peerce's direction wavers uncontrollably between black farce and Roman tragedy. Robert Klein certainly think it's the former and his self-centered performance in a minor role underscores the total lack of balance and chemistry between the players in the film. Normally, I don't like to let myself get so ascerbic, but The Bell Jar is one of my all-time favorite books, and to watch what they did with it makes me literally crazy.';
Negative,I bought this movie and after I watched it I decided that I did not care for it. The acting was BAD. Was the principal a robot? He had no personality and his facial expression didn't change through the whole movie. At times the voices didn't match up. People talking and their lips didn't even move.;
Negative;"After having seen the Canadian/Icelandic/British 2004 production of 'Beowulf & Grendel,' which I thought brilliant and stunning, I approached this--the first of 3 newer Beowulf movies due out this year--with trepidation. As soon as I heard 'Viking' and saw the horned helmets, I groaned. These were Migration Era Swedes and Danes, not Vikings (they came later). And even the Vikings never wore horns on their helmets (horns make it easy for your enemy to knock your helmet off and then brain you). Then there's Hrolfgar's palace, which looks like a set for a movie about Greece or Rome, not 6th-century Denmark. The swords and armor look like props left over from earlier films set in various historic periods. I spotted weapons that might have been used by Crusaders in 'Kingdom of Heaven,' and one character was even wielding a Windlass Steelcrafts reproduction movie sword from 'Beowulf & Grendel'! Beyond the basic plot of the original epic poem, the writing was dismal and the acting totally wooden and unconvincing. The biggest yuk was a secret-weapon crossbow, complete with sighting scope and exploding projectiles, that looked like something bought from Iraqi insurgents. The special-effects monster and his mom were so on steroids that Beowulf could never have torn off an arm, as he did in the poem. Thank the gods for bazooka crossbows! I could go on, but I won't.';
Negative;"Well how was I suppose to know this was 'the' dumb ass promotional 'Lordi Motion Picture'? I mean, I realized this when that 'dinosaur' costume showed up and by the time the lead singer made his appearance I was humming 'Hard Rock Hallelujah' to myself... even though I hate that song. 'Dark Floors' is about a young autistic girl who is in the process of being sneaked out of the hospital by her over protective father when they, and the rest of the people in that particular elevator, become momentarily trapped... When they arrive at their floor it comes as quite a surprise to find that there is nobody else around. The hospital is empty... Except for a variety of monsters that seem to be stalking them for no apparent reason... They run through the hallways and stairwells, encountering all of the band members of the heavy metal band in their outlandish, shock-rock costumes... Nothing really memorable here, except the lousy acting, lack of gore/nudity, and the utterly shameless promotional edge, reminding me very much of 'KISS Meet the Phantom of the Park'. Yeah, remember that dud? Wish I didn't... I would just recommend avoiding all of these Ghost House films like a fungus and not listen to Lordi since they are a Gwar ripoff band!';
Negative;"Wow-this one sucks. I'm gonna sum it up as quickly as possible.Â   A count invites 4 naive sluts back to his castle. A bunch of nothing happens for a long time. Some lame and un-erotic soft-core sex scenes happen. Some girls get their heads cut off (off-screen)-The End.  The only things going for this one are the decent looking sets and costumes, some bad dubbing which leads to some unintentionally funny dialogue, and a few brief nudie shots. And believe me-those things are not enough to redeem the 90-minutes of tedium that this film is. In fact-the best part is the tacked on beginning from the distributor that features some slutty goth chicks covered in blood and showing their tits-and again-this is definitely not worth the price of admission for this garbage. As everyone else has noted- the title of the film is completely nonsensical-as there's absolutely no bloodsucking, nor dancing of any sort in the film at all. It may as well have been called'The Goat-Raper Leads the Circle-Jerk'-and at least then it would have had a better title that also pertains to nothing in the film. An accurate title would have been'90 Minutes of Torture'-another alluring title that would have at least been truthful...for the viewer. Honestly-the trailer that's on the disc shows all the best parts (and i use the term'best' extremely loosely...) so I highly suggest watching that instead if you're still curious. Â I can't imagine anyone liking this wreck of a film-please take my advice and leave this one on the shelf. 2/10';
Negative;"Things get dull early an often in this in this mawkish jazz bio fiction written and directed by Spike Lee.  Bleek Gilliam (Denzell Washington) is a happenin' jazz trumpeter that fronts a quintet packing them in at Below the Underdog. His problems include an incompetent manager, a stage hogging sax player and two girlfriends that he's playing musical mattress with. The real love of his life though is his trumpet and his music. The band's manager, Giant, has a dangerous gambling problem and proves to be an ineffective negotiator with greedy club owners and would be best jettisoned but Bleek remains loyal for as long as possible. It will prove to his undoing as an artist but ironically contribute to his growth as a man.  As Bleek, Denzell Washington is all wrong as the ambitious trumpeter with a babe on each arm. He's too sweet a guy to be so self centered about his art, dispensing patience and love to those close to him with a low key remoteness. He simply lacks the fire. Wesley Snipes who plays Henderson the sax player would have been far more suited for the role but even he would have to mouth the flaccid throw away scribblings of Lee's torpid dialogue. As Giant, Lee hits the trifecta with an abysmal performance to match his writing and direction. Loosely attempting to mirror the grubby but sympathetic Ratso Rizzo to Bleek's Joe Buck he adopts a limp and even the 'I'm walkin' here' moment from Midnight Cowboy. In this case you wish the taxi would run him over and be done with it.  Lee's script is all tepid argument, heavy handed ribbing and veiled insult with some requisite clumsy editorializing that Lee has to inject to remain down. The scenes between the band members backstage and in rehearsal lack spark and are only surpassed in dreariness by the Bleek, Giant conversations that have an ad lib look and go in circles. Completing this travesty is Lee's pretentious visual style. Tracking shots, zooms and pans are wasted and without significance to scenes. They just wander.  Blues is Lee's love letter to jazz (made implicit by the mountains of memorabilia plastered all over the sets) and it's all sentimental clap trap that lacks passion and verve. Jazz on film is better served by Tavernier's 'Round Midnight' and Eastwood's 'Bird' which get below the surface, reveal more sides of the form, the pain behind it in addition to offering infinitely superior lead performances by Forrest Whitaker and the real deal Dexter Gordon. This Spike Lee Joint doesn't even offer a mild buzz. It's some pretty bad homegrown.';
Negative;"In an otherwise good review, loleralacartelort7890 says 'The truth is that the Americans use a secret aluminum-anti-radiation-alloy. It is not that well-known. And the exact specifications are a secret. And why is it a secret: Well, why should they reveal it back then?? If they where in a space race with the Russians, then it would be VERY dumb to reveal that they had new technology that could shield crew against radiation.' This is completely incorrect. There is (and was) no 'secret' to radiation protection in Apollo. The design and construction of the Apollo Command Module has long been publicly available. It uses a lightweight 'honeycomb' of aluminum and stainless steel. The entire outer surface (except the windows of course) is covered with a heat shield made of a phenolic resin, thicker on the bottom that faces forward during re-entry. These materials are actually *better* at stopping the kind of radiation we have in space (charged particles) than lead, which is better suited to stopping ionizing photons like X-rays and gamma rays.  Space radiation is a definite problem for *long term* space flight because of the risk of big solar flares. But it simply wasn't a serious threat to the Apollo astronauts. The Command Module gave them pretty good protection during their brief (1/2 hour or so) passage through the Van Allen belts. They all carried dosimeters so we know exactly how much radiation they each received: no more than 1.5 rem, and usually much less. Of the 24 men who flew to the Moon (12 of whom landed), 18 are still alive. Only two have died from cancer: Alan Shepard (leukemia) and Jack Swigert (bone cancer). The rest died from heart attacks, pancreatitis (Roosa), and a motorcycle accident (Conrad). These are actually pretty good statistics for a group of men now in their late 70s (Shepard would be 86).';
Negative;"I'm not sure this is a spoiler";" perhaps it is a public service. If you are one of those people focused on instant gratification who skip end credits, you will miss the final line of the end credits news announcer's voice-over, which states the U.S. has just surrendered to Nazi Germany on May 7, 1945 to end WWII. Here are just a few of the problems with this close:   1)The older viewer must conjure up the equivalent of two or three more UNHOLY movies in their mind's eye to fill in the yawning chasm between movie events and this startling conclusion.  2)The average person will really kick themselves that they did not 'watch' one of these UNHOLY fill-in-the-blanks flicks created in their own head for free, instead of shelling out time and money to see this UNHOLY from the video store (or on cable).  3)This end credits sequence of imagined news bulletins may be the first information some younger viewers are exposed to about WWII, leading them to the conclusion that George W. Bush is the latest heir to the Nazi throne.'
Negative;"I've seen a lot of movies and rarely would I ever rate a movie '1' but this movie was beyond terrible.  The acting was terrible, the plot was ridiculous, the effects were unrealistic and the characters were annoying. Usually when I watch scary movies I think it's DUMB when the characters hears a noise in house/forest/school/etc and then yells out 'hello is anyone there?' - but at least they're believable when they do it.. This movie couldn't even get that right.  This is a movie that'll make other B-horror movies like Venom and The Fog look like academy award winning masterpieces.  I always have an open mind while watching movies and I can only say that this movie was a complete waste of time and I write this comment so that anyone else who's thinking of watching this movie will think again. IT'S AWFUL!';
Negative;"A Movie about a bunch of some kind of filmmakers, who want to make a documentary on a new kind of surfing in shark-infested waters. As an absolute fan of movies including some kind of vicious animals or monsters, I thought this might be my kind of movie... it wasn't!!! This should be more of a guideline of how not to do it! It has a lot of accidental humor in it and the evil beast is an incredible joke, in the final scene it goes after the main characters *rolling*, the feet are obviously waving in the air! It looks ridiculous! Good for a laugh though. If it were only for the lack of talent between the actors, the embarrassingly stupid dialogs and the hilariously stupid crocodile, it would be at least worth a laugh, but it gets worse: I'd guess, the people in charge of this movie noticed how weak it was, so they though up the old idea of 'sex sells'... Totally, i mean TOTALLY without any reasons one of the main actresses shows her breasts to the beast. And somewhere towards the beginning there's some kind of meaningless 'makeout'. This is the last ingredient making the movie absolute trash to me. It's incredible how people actually spend time producing such rubbish! If you are seeking for a real waste of time: watch this movie!!!';
Negative;"Jeez, only in the 70's... Antonio Margheriti brings us this quirky hybrid of spaghetti western and kung fu flick evolving around a treasure-hunt. The spices of this trashy co-production between Shaw Brothers and an Italian one-off company include humorous storytelling, off-the-wall happenings and some very tame T&A. Extra campy moments are being served by Lee Van Cleef's obnoxious wig, leather-clad bible-thumping psycho gunman Yancey Hobbitt (loveably hammed up by Julian Ugarte, the man who should've done way more obscure European genre productions than he did), wanna-be-witty dialogue, hilarious background music and completely laughable sound effects accompanying various little events (especially every jump made by Lo Lieh).  While this little piece of action falls fare and square into the Turkey Territory, it's great to see Van Cleef and Lo Lieh on the same screen, and you can't deny the charisma of this duo. Don't expect too much, and you'll get plenty out of it.  This is my truth. What is yours?';
Negative;"I can't quite say that 'Jerry Springer:Ringmaster' is the worst film I have ever seen. The film would be better off if it were, because at least the worst film I've ever seen, (Prom Night II) interested me enough for me to hate it. My only reaction after leaving the theatre happened when I looked up at the clock and discovered that only 90 minutes had passed. It had seemed much more like years. It is an endless repetition of poor people, (or what Jerry Springer seems to believe poor people are), screwing each other, hitting each other, insulting each other, and then repeating the process with the same attention to duty the rest of us use when shampooing. The plot, which covers how a group of stupid people mangle their lives badly enough to provide grist for the Jerry Springer mill, advances solely because of the idiocy of the characters. This makes it impossible to care what happens to them. It never mattered to me whether they got on the show, or what they said, or who slept with whom. Maybe I'm not supposed to care about them. Maybe I'm supposed to look at them as some kind of comic type-- to see their outrageous behavior as inherently funny. Too bad it isn't. The humor is not outrageous. It's innocuous. It's predictable. Humor has to have something behind it, some kind of painful irony or life experience, in order to function. Scatology is not wit. An example. A mother catches her daughter and her husband in bed. To take revenge she marches across the trailer park and gives oral sex to her daughter's boyfriend. Since I was over the shock of Jerry Springer's show a long time ago, I had the same reaction I had to Andrew Dice Clay's obscene nursery rhymes";" not laughter, just yawning. Lastly, I found Springer's pose as a populist tiresome and unconvincing. If he really were an advocate of the poor, he would bring on a single mom from Bed-Sty to talk about trying to raise her kids in New York City on $12,000 a year. Or, failing that, he would at least give the participants of his shows a cut of his profits. Jerry Springer gets millions for his shows, his movie, his book and videos. His guests just get round trip air fare, hotel accommodations, and a chance to humiliate themselves. If he liked poor people so much, he'd give them at least some of the money they earn for him. It appears that Springer wanted to make this movie to grab some legitimacy for himself. Jeez, with all his fine work, you'd think he'd have earned our respect already. Anyway, the film is weak and boring. It doesn't even succeed at being offensive. If you want to have a better evening, videotape a bug zapper for a night and then watch that.'
Negative;"Tatie Danielle is all about a ghastly old hag who torments her loving and oblivious family out of sheer spite. There's a bit of subtext that might be about France's colonial past but it's mostly just Danielle doing the sorts of things (like deliberately abandoning a small child in a park) that would soon have a man picking up his teeth with broken fingers. Sadly, that doesn't happen here. It looks good and the acting is fine and there's nothing really wrong with the concept but it's just so SMUG. God, does this movie love itself. Pity it isn't nearly as clever or as funny as it thinks it is. The only impetus in the show - sorry, movie - comes from Danielle getting nastier and nastier, and the only surprise comes from watching the increasingly improbable ways she does this. That's right: just like in a sitcom, which is what this is, with the added'bonus' of delusions of grandeur and a 110-minute running time.';
Negative;"Absolutely the worst film yet by Burton, who seems to be getting worse with each film he directs. A miserable script loaded with cliches is only the first of many objectionable aspects to this film. This is the kind of movie where every time something happens, you'll be sure to hear someone shout out 'he's lost his gun!' or whatever it is to let everybody know. Carter is really awful and so is Wahlberg, who can't play this straight and be convincing. Very nice effects and photography, but poor music in the John Williams mold by Burton's crony Elfman. Heston appears in a nonsensichal scene to spout out his most famous catch-phrases from the first movie. Very poor results.  If anyone else out there also saw 'Sleepy Hollow', they will probably have noticed, as I have, the declining quality of Burton's films. I've heard that this particular project was produced by others and that Burton was brought in as director, in which case his judgement should be questioned. But I think he has allowed any possible vision he might have had earlier in his career to slip";" the evidence is there in the films. In 'Sleepy Hollow', he couldn't decide what kind of movie he was making, whether it was a comedy or a real horror movie, and the population of british character actors (Chris Lee, etc.) made you also think it was kind of a monster rally film (those are never scary, as horror fans know). The movie couldn't succeed on either horror or comedy because it was so schizophrenic, and no style had been developed to smooth the two together. 'Planet of the Apes' is much the same way, and the result comes off more like 'Total Recall' or 'Tango and Cash' than like sci-fi. He's also fallen into the rut of so many other 'big' directors of trying to satisfy the entire possible audience. Word to Burton, if you're out there -- pick something and do it straight, or use some style to peice it all together (as in 'Mars Attacks' or 'Beetlejuice') or you might as well retire, because people like me that are fans of your movies will stop going.'
Negative;"This is one very dire production. The general consensus has always been that while Princess Margaret may have been spoilt and pampered and may have revelled in the excess of luxury at her disposal, she was a very beautiful young woman. Here was the production's weakest point, the actress failed to get that across. It also appeared that the production budget couldn't stretch to a hairdresser - from the outset, the hair on the Princess Margaret character had a permanent birds nest in disarray look and looked as if she had been dragged through a bush. The actor playing the Duke of Edinburgh appeared to have prepared for his role by watching Rory Bremner imitate Prince Charles and was farcical.  The production was a flaw ridden, clichÃ© ridden, embarrassing load of rubbish. I think all Daily Mail readers deserve a free DVD copy for Christmas!';
Negative;"A great concept gone wrong. Poor acting, even worse writing....After watching the first two episodes I was wondering why it ever made it to season two. The characters are forgettable, the writing is poor, the sets are just OK. The special effects are simply sad - so much better has been made in the same time-frame - where is the money going on this one? The first episode starts out interesting then goes downhill fast - the precept of the whole show is just silly. Now don't get me wrong, I am a huge Sci-Fi fan and'geek' - but this show simply doesn't cut it. As I said in the beginning, I am truly surprised it made it to season two - so much better has been canceled after only one season (Jake 2.0 for example). This show was just bad.';
Negative;"If you have read the book - do not set your hopes high, if you have not - go read it, and never watch the film. It is strange to learn that Toby Young was actually involved a lot in the writing of the script (as he claims himself in the post script of the book). Because the film is very different from the book.  What the film seems to be aiming at - taking a rather thought provoking and entertaining piece that combines philosophical ideas with plain funny sarcasm and simplifying it so that everyone would understand it - it achieves with perfection. The film is full of bad and cheap jokes suitable for a sitcoms, and has lost any meaningful message that it could have had.  You are better off not seeing it.';
Negative;"Charles Bronson continued his 80's slump with what could possibly be his worst movie of the decade, if not ever. In it he plays a detective who goes to great lengths to track down a pimp who has abducted an Asian girl and is currently selling her to the highest bidder. It's a shameful attempt at action and is quite possibly the most depressing movie ever made. A lot of people consider the Death Wish sequels to be Bronson's worst movies. The Death Wish sequels weren't great movies but were in most cases competently made and very watchable. Kinjite however is an utterly dull thriller which is punctuated by mean spirited racism and child molestation. It really is a rephrensible film and all of it is made worse by the fact that it tries to preach a 'Law and Justice' mentality that is too overwrought to really say anything. Indeed the movie begins with underage sex being interrupted with Bronson then anally raping the pedophile with a dildo. The Chicago theater I watched this in just gasped at the awkwardness of this scene, only to gasp at the awkwardness of the pimp raping the girl in this film. It has no point other than to exploit and really the movie wasn't well written enough to rise above the exploitation level and deliver something that would work. Bronson seems more into things but clearly this is far too repugnant to save. I want to point out that I think Charles Bronson is the coolest actor ever but this effort is ultimately his worst. The action sequences are poor also.  1/2* out of 4-(Awful)';
Negative;"I hated this show when I was a kid. That was back in the day when kids show characters actually had accents, not just the bland, generic, General American Dialect we're used to. Jack Wild had a British accent and Pufnstuf's was southern. Like one of the others mentioned, though, I never quite understood what the deal was with the witch wanting the flute. That always seemed odd to me, probably because the flute just annoyed me and I wouldn't have gone to any trouble to take it away!  Just a comment on the similarity of Pufnstuf to early 70s McDonalds commercials that others have mentioned: Pufnstuf ripped off McDonalds. At the height of McDonalds popularity, the TV show (or rather, their creators) sought to license McDonalds characters for their show, but when McDonalds declined the TV show changed the characters slightly and passed it as their own. They even hired former employees of McDonalds ad agency and the voice actors to make the TV shows. McDonalds sued and won. Search for Pufnstuf McDonaldland lawsuit and you'll find plenty of articles about it.';
Negative;"A trio of low-life criminals, led by Matt Dillon, botches a late-night burglary. They flee but quickly cross paths with the police who just happen to be in hot pursuit of a terrorist. Of course the police mistake the burglar gang for the terrorist, the real terrorist gets away, and the burglars are forced to take refuge in a small dive of a bar, taking hostages, unaware why the police are so intent on catching them. And guess who else has picked the bar as a sanctuary for the night?  Unbelievable? Absolutely. And it goes down hill from there. Spacey did acquire a good bit of acting talent";" Matt Dillon, Faye Dunaway, Gary Sinise, Viggo Mortensen, and M. Emmett Walsh, but they're all wasted. Mostly because after all the characters get stuck in the bar, all they do for the remainder of the film is argue. Endlessly and aimlessly. Long before the conclusion of the film you've stopped giving a damn about what happens to them.'
